13021,Auburn
13026,Aurora
13027,Baldwinsville
13031,Camillus
13033,Cato
13034,Cayuga
13039,Cicero
13040,Cincinnatus
13043,Clay
13045,Cortland
13050,Cuyler
13051,Delphi Falls
13053,Dryden
13055,East Freetown
13057,East Syracuse
13060,Elbridge
13062,Etna
13063,Fabius
13064,Fair Haven
13065,Fayette
13066,Fayetteville
13068,Freeville
13071,Genoa
13073,Groton
13075,Hart Lot
13078,Jamesville
13080,Jordan
13081,King Ferry
13082,Kirkville
13087,Little York
13088,Liverpool
13092,Locke
13094,Lysander
13101,McGraw
13104,Manlius
13108,Marcellus
13110,Marietta
13111,Martville
13118,Moravia
13119,Mottville
13120,Nedrow
13125,Oran
13137,Plainville
13138,Pompey
13139,Popular Ridge
13140,Port Bryon
13141,Preble
13143,Red Creek
13146,Savannah
13147,Scpio Center
13148,Seneca Falls
13150,Sennett
13152,Skaneateles
13153,Skaneateles Falls
13154,South,Butler
13156,Sterling
13158,Truxton
13159,Tully
13160,Union Springs
13166,Weedsport
132--Syracuse
13732,Apalachin
13734,Barton
13736,Berkshire
13738,Blodgett Mills
13743,Candor
13784,Harford
13785,Harford Mills
13803,Marathon
13811,Newark Valley
13812,Nichols
13827,Owego
13835,Richford
13840,Smithboro
13845,Tioga Center
13863,Willet
13864,Willseyville
14410,Adams Basin
14413,Afton
14414,Avon
14415,Bellona
14417,Bluff Point
14418,Branchport
14420,Brockport
14423,Caledonia
14424,Canandaigua
14425,Farmington
14428,Churchville
14430,Clarkson
14431,Clifton
14432,Clifton Springs
14435,Conesus
14437,Dansville
14441,Dresden
14443,East Bloomfield
14444,East Palmyra
14445,East Rochester
14449,East Williamson
14450,Fairport
14453,Fishers
14454,Geneseo
14456,Geneva
14461,Gorham
14463,Hall
14464,Hamlin
14465,Hayt Corners
14466,Hemlock
14467,Henrietta
14468,Hilton
14469,Holcomb
14471,Honeoye
14472,Honeoye Falls
14474,Industry
14475,Ionia
14478,Keuka Park
14480,Lakeville
14481,Leicester
14485,Lima
14487,Livonia
14488,Livonia
14501,MacDougall
14502,Macedon
14504,Manchester
14505,Marion
14510,Mount Morris
14511,Mumford
14512,Naples
14513,Newark
14514,North Chili
14515,North Greece
14516,North Rose
14517,Nunda
14518,Oaks Corners
14519,Ontario
14520,Ontario Center
14521,Ovid
14522,Palmyra
14526,Penfield
14527,Penn Yan
14532,Phelps
14533,Piffard
14534,Pittsford
14537,Port Gibson
14538,Pultneyville
14539,Restof
14541,Romulus
14542,Rose
14543,Rush
14544,Rushville
14546,Scottsville
14547,Seneca Castle
14548,Shortsville
14551,Sodus
14554,Sodus Center
14555,Sodus Point
14556,Sonyea
14558,South Lima
14559,Spencerport
14560,Springwater
14561,Stanley
14562,Tuscarora
14563,Union Hill
14572,Wayland
14580,Webster
14584,Webster Crossing
14585,West Bloomfield
14586,West Henrietta
14587,West Rush
14588,Willard
14589,Williamson
14590,Wolcott
14592,York
146--,Rochester
14801,Addison
14805,Alpine
14807,Arkport
14808,Atlanta
14809,Avoca
14810,Bath
14812,Beaver Dams
14814,Big Flats
14815,Bradford
14817,Brooktondale
14818,Burdett
14819,Cameron
14820,Cameron Mills
14821,Campbell
14823,Canisteo
14824,Cayuta
14825,Chemung
14826,Cohocton
14827,Coopers Plains
14830,Corning
14836,Dalton
14837,Dundee
14838,Erin
14839,Greenwood
14840,Hammondsport
14841,Hector
14842,Himrod
14843,Hornell
14845,Horseheads
14846,Hunt
14847,Interlaken
14850,Ithaca
14851,Ithaca
14853,Ithaca
14854,Jacksonville
14855,Jasper
14856,Kanona
14857,Lakemont
14858,Lindley
14859,Lockwood
14860,Lodi
14861,Lowman
14867,Newfield
14868,North Cohocton
14869,Odessa
14870,Painted Post
14871,Pine City
14872,Pine Valley
14873,Prattsburg
14874,Pulteney
14876,Reading Center
14877,Rexville
14878,Rock Stream
14879,Savona
14881,Slaterville Springs
14882,Lansing
14883,Spencer
14885,Troupsburg
14886,Trumansburg
14887,Tyrone
14891,Watkins Glen
14892,Waverly
14893,Wayne
14894,Wellsburg
14896,West Danby
14898,Woodhull
14901,Elmira
14902,Elmira
14903,Elmira
14904,Elmira
14905,Elmira
